vencimiento,monto_uyu,direccion,fecha,cantidad,verificado,monto_item,moneda,proveedor,telefono,departamento,descripcion,ruc,sucursal,codigo_sucursal,nombre_comercial,tipo_cambio,archivo,categoria,precio_unitario,ciudad,giro,año,mes
2027-01-24,1150.0,Cerrito 517 of 301                                                    ,2025-06-02,1.0,True,1150.0,UYU,Carlos Piaggio,,Montevideo                    ,FOTOCOPIA Y CUMPLIDO,215353020010,,1,,1.0,Xml-Recibido-REDOSRL-111-A-12695-215353020010-GURIALES-1362025165712.xml,Gastos de importación,1150.0,Montevideo                    ,,2025,Junio
2027-01-24,16383.0,Cerrito 517 of 301                                                    ,2025-06-02,1.0,True,16383.0,UYU,Carlos Piaggio,,Montevideo                    ,HONORARIOS,215353020010,,1,,1.0,Xml-Recibido-REDOSRL-111-A-12696-215353020010-GURIALES-1362025165712.xml,Honorarios Profesionales,16383.0,Montevideo                    ,,2025,Junio
2026-11-29,21794.0625,Marco Bruto 1276 Ofic 401 ,2025-06-03,1.0,True,512.5,USD,Bersal Group S.R.L.,,Montevideo,Servicio Gestión de importaciones,217940980018,,4,,42.525,Xml-Recibido-REDOSRL-111-A-571-217940980018-GURIALES-1362025165712.xml,Gastos de importación,512.5,Montevideo,,2025,Junio
2026-12-05,1000.0,Ruta 10 Km. 159.800,2025-06-03,12.744,True,1000.0,UYU,La Estacion,,Montevideo,NAFTA SUPER 95,100152670013,,1,La Estacion,1.0,Xml-Recibido-REDOSRL-111-A-714256-100152670013-GURIALES-1362025165712.xml,Combustible,78.47,Montevideo,,2025,Junio
2026-12-05,1500.0,Ruta 10 Km. 159.800,2025-06-05,31.895,True,1500.0,UYU,La Estacion,,Montevideo,GASOIL 50-S,100152670013,,1,La Estacion,1.0,Xml-Recibido-REDOSRL-111-A-714418-100152670013-GURIALES-1362025165712.xml,Combustible,47.03,Montevideo,,2025,Junio
2026-12-05,1000.0,Ruta 10 Km. 159.800,2025-06-10,21.263,True,1000.0,UYU,La Estacion,,Montevideo,GASOIL 50-S,100152670013,,1,La Estacion,1.0,Xml-Recibido-REDOSRL-111-A-714754-100152670013-GURIALES-1362025165712.xml,Combustible,47.03,Montevideo,,2025,Junio
2026-12-05,730.0,Ruta 10 Km. 159.800,2025-06-10,9.306,True,730.0,UYU,La Estacion,,Montevideo,NAFTA SUPER 95,100152670013,,1,La Estacion,1.0,Xml-Recibido-REDOSRL-111-A-714754-100152670013-GURIALES-1362025165712.xml,Combustible,78.47,Montevideo,,2025,Junio
2026-12-05,3751.0,Ruta 10 Km. 159.800,2025-06-11,47.799,True,3751.0,UYU,La Estacion,,Montevideo,NAFTA SUPER 95,100152670013,,1,La Estacion,1.0,Xml-Recibido-REDOSRL-111-A-714804-100152670013-GURIALES-1362025165712.xml,Combustible,78.47,Montevideo,,2025,Junio
2027-02-20,37.5,Colonia 1426,2025-06-02,1.0,True,37.5,UYU,OCA S.A.,,MONTEVIDEO          ,ARANCEL,211739340016,,1,OCA S.A.,1.0,Xml-Recibido-REDOSRL-111-A-9158444-211739340016-GURIALES-1362025165712.xml,Comisiones tarjetas,37.5,MONTEVIDEO          ,,2025,Junio
2027-02-20,366.76640000000003,Colonia 1426,2025-06-02,1.0,True,8.8,USD,OCA S.A.,,MONTEVIDEO          ,ARANCEL,211739340016,,1,OCA S.A.,41.678,Xml-Recibido-REDOSRL-111-A-9194611-211739340016-GURIALES-1362025165712.xml,Comisiones tarjetas,8.8,MONTEVIDEO          ,,2025,Junio
2027-02-20,1443.67,Colonia 1426,2025-06-03,1.0,True,1443.67,UYU,OCA S.A.,,MONTEVIDEO          ,ARANCEL,211739340016,,1,OCA S.A.,1.0,Xml-Recibido-REDOSRL-111-A-9200564-211739340016-GURIALES-1362025165712.xml,Comisiones tarjetas,1443.67,MONTEVIDEO          ,,2025,Junio
2027-02-20,85.1,Colonia 1426,2025-06-05,1.0,True,85.1,UYU,OCA S.A.,,MONTEVIDEO          ,ARANCEL,211739340016,,1,OCA S.A.,1.0,Xml-Recibido-REDOSRL-111-A-9203235-211739340016-GURIALES-1362025165712.xml,Comisiones tarjetas,85.1,MONTEVIDEO          ,,2025,Junio
2027-02-20,149.5152,Colonia 1426,2025-06-06,1.0,True,3.6,USD,OCA S.A.,,MONTEVIDEO          ,ARANCEL,211739340016,,1,OCA S.A.,41.532,Xml-Recibido-REDOSRL-111-A-9204513-211739340016-GURIALES-1362025165712.xml,Comisiones tarjetas,3.6,MONTEVIDEO          ,,2025,Junio
2027-02-20,260.80109999999996,Colonia 1426,2025-06-09,1.0,True,6.3,USD,OCA S.A.,,MONTEVIDEO          ,ARANCEL,211739340016,,1,OCA S.A.,41.397,Xml-Recibido-REDOSRL-111-A-9205780-211739340016-GURIALES-1362025165712.xml,Comisiones tarjetas,6.3,MONTEVIDEO          ,,2025,Junio
